Posicao,EMPRESA,SETOR,VENDAS LÍQUIDAS VALOR(EM R$ MILHÕES),VENDAS LÍQUIDAS VALOR(EM US$ MILHÕES),VENDAS LÍQUIDAS CRESCIMENTO(EM %),LUCRO LÍQUIDO AJUSTADO(EM US$ MILHÕES),LUCRO LÍQUIDO LEGAL(EM US$ MILHÕES),PATRIMÔNIO LÍQUIDO AJUSTADO(EM US$ MILHÕES),PATRIMÔNIO LÍQUIDO LEGAL(EM US$ MILHÕES),RENTABILIDADE AJUSTADA(EM %),RENTABILIDADE LEGAL(EM %),RENTABILIDADE SOBRE VENDAS(EM %),CAPITAL CIRCUL. LÍQUIDO(EM US$ MILHÕES),LIQUIDEZ GERAL(EM NO. ÍNDICE),ENDIVIDAMENTO GERAL(EM %),ENDIVIDAMENTO LONGO PRAZO(EM %),RIQUEZA CRIADA(EM US$ MILHÕES),NO. DE EMPREG.,RIQUEZA CRIADA POR EMPREG.(EM US$ MIL),SALÁRIOS E ENCARGOS(EM US$ MILHÕES),TRIBUTOS(EM US$ MILHÕES),EBITDA(EM US$ MILHÕES),EXPORTAÇÃO VALOR(EM US$ MILHÕES),EXPORTAÇÃO % DAS VENDAS,CONTROLE ACIONÁRIO,Ano
71,Honda Automóveis,Autoindústria,9442.9,2342.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3296,NA,NA,NA,NA,200.4,8.6,Japonês,2019
416,Frigoestrela,Produção Agropecuária,1946.4,482.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3274,NA,35.9,NA,NA,185,38.3,Brasileiro,2019
480,ZF,Autoindústria,1519,376.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3265,NA,NA,NA,NA,102.5,27.2,Alemão,2015
232,ABB,Bens de Capital,3355.1,832.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3257,NA,NA,NA,NA,NA,NA,Suíço,2015
22,ADM,Bens de Consumo,19290,4785.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3218,NA,NA,NA,NA,NA,NA,Americano,2017
62,Honda Automóveis,Autoindústria,9226.3,2289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3207,NA,NA,NA,NA,70.2,3.1,Japonês,2017
337,ZF,Autoindústria,2375.8,589.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3164,NA,NA,NA,NA,107.5,18.2,Alemão,2018
63,Honda Automóveis,Autoindústria,9455.4,2345.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3137,NA,NA,NA,NA,89.2,3.8,Japonês,2016
39,Itaipu Binacional,Energia,13390.1,3322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3102,NA,207,NA,NA,338.2,10.2,Estatal,2017
183,Eaton,Autoindústria,3641.8,903.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3100,NA,NA,NA,NA,NA,NA,Americano,2016
33,Itaipu Binacional,Energia,15132.4,3754.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3093,NA,287.1,NA,NA,394.6,10.5,Estatal,2018
273,Ajinomoto,Bens de Consumo,2781.1,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3054,NA,NA,NA,NA,NA,NA,Japonês,2015
287,Siemens,Eletroeletrônico,2846.1,706.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3039,NA,22.6,NA,NA,NA,NA,Alemão,2019
37,Itaipu Binacional,Energia,13839.6,3433.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3038,NA,240.9,NA,NA,331.1,9.6,Estatal,2016
